COVID-19 Cases and Deaths by County as of 4/1 at 10AM CST,,,
No.,County,Positive,Fatalities
1,Anderson,1,0
2,Angelina,5,0
3,Atascosa,2,0
4,Austin,2,0
5,Bastrop,8,0
6,Bell,44,1
7,Bexar,207,9
8,Blanco,1,0
9,Bowie,9,0
10,Brazoria,95,1
11,Brazos,53,2
12,Brown,3,0
13,Burleson,1,0
14,Burnet,3,0
15,Caldwell,1,0
16,Calhoun,7,0
17,Cameron,26,0
18,Camp,1,0
19,Cass,3,0
20,Castro,8,0
21,Chambers,9,0
22,Cherokee,4,0
23,Clay,1,0
24,Collin,184,1
25,Colorado,2,0
26,Comal,11,2
27,Comanche,1,0
28,Coryell,1,0
29,Crane,2,0
30,Dallas,631,13
31,Dawson,3,0
32,Deaf Smith,2,0
33,Denton,206,4
34,DeWitt,4,0
35,Eastland,3,0
36,Ector,11,0
37,El Paso,50,0
38,Ellis,20,1
39,Erath,2,0
40,Falls,1,0
41,Fannin,1,0
42,Fayette,4,0
43,Fort Bend,163,2
44,Franklin,1,0
45,Gaines,1,0
46,Galveston,106,0
47,Gonzales,1,0
48,Gray,1,0
49,Grayson,8,0
50,Gregg,6,0
51,Grimes,3,0
52,Guadalupe,17,0
53,Hale,1,0
54,Hardin,13,1
55,Harris,680,6
56,Harrison,3,0
57,Hays,38,0
58,Henderson,1,0
59,Hidalgo,46,0
60,Hill,2,0
61,Hockley,7,0
62,Hood,6,0
63,Hopkins,3,0
64,Hunt,4,0
65,Jackson,1,0
66,Jefferson,27,0
67,Johnson,12,1
68,Karnes,2,0
69,Kaufman,4,0
70,Kendall,7,0
71,Kerr,1,0
72,Kleberg,1,0
73,Lamar,3,0
74,Lamb,1,0
75,Lavaca,1,0
76,Leon,2,0
77,Liberty,3,0
78,Limestone,2,0
79,Live Oak,1,0
80,Llano,3,0
81,Lubbock,100,2
82,Lynn,2,0
83,Martin,1,0
84,Matagorda,25,1
85,Maverick,1,0
86,McLennan,44,1
87,Medina,3,0
88,Midland,16,1
89,Milam,2,0
90,Montague,1,0
91,Montgomery,93,0
92,Moore,1,0
93,Morris,1,0
94,Nacogdoches,4,0
95,Navarro,4,0
96,Newton,1,0
97,Nueces,34,0
98,Oldham,2,1
99,Orange,7,0
100,Parker,4,0
101,Polk,4,0
102,Potter,10,0
103,Randall,6,0
104,Robertson,2,0
105,Rockwall,9,0
106,Rusk,5,0
107,San Augustine,1,0
108,San Jacinto,1,0
109,San Patricio,2,0
110,Shelby,2,0
111,Smith,37,1
112,Starr,4,0
113,Swisher,1,0
114,Tarrant,273,1
115,Taylor,14,0
116,Terry,4,0
117,Tom Green,9,0
118,Travis,244,2
119,Upshur,2,0
120,Uvalde,4,0
121,Val Verde,5,0
122,Van Zandt,2,1
123,Victoria,16,0
124,Walker,5,0
125,Waller,3,0
126,Washington,17,0
127,Webb,45,2
128,Wharton,7,0
129,Wichita,38,0
130,Willacy,2,0
131,Williamson,50,1
132,Wilson,5,0
133,Wise,3,0
134,Wood,1,0
135,Young,3,0
,,3997,58
